id,title,text,label
1,Aliens spotted in city park,Eyewitnesses report incredible event that defies science.,FAKE
2,Local library opens new branch,Authorities report updates on ongoing city projects.,REAL
3,Chocolate cures all diseases,Researchers claim impossible phenomenon observed in lab.,FAKE
4,City park renovation completed,The event was organized to benefit the local community.,REAL
5,Man grows third arm overnight,Unbelievable story that experts cannot explain.,FAKE
6,Stock market hits record high,Scientists published new findings in a peer-reviewed journal.,REAL
7,Time travel device unveiled,A new study shows results that contradict known science.,FAKE
8,New public transport route launched,Officials confirmed the progress and completion of the project.,REAL
9,Scientists discover unicorn DNA,Residents shocked by discovery that seems unreal.,FAKE
10,Scientists discover new species of bird,Authorities report updates on ongoing city projects.,REAL
11,Moon made of cheese confirmed,Eyewitnesses report incredible event that defies science.,FAKE
12,Mayor announces housing plan,The event was organized to benefit the local community.,REAL
13,Dinosaurs cloned successfully,Researchers claim impossible phenomenon observed in lab.,FAKE
14,School wins national science competition,Scientists published new findings in a peer-reviewed journal.,REAL
15,Invisibility cloak invented,Unbelievable story that experts cannot explain.,FAKE
16,Hospital opens new wing,Officials confirmed the progress and completion of the project.,REAL
17,Mermaids found in Atlantic Ocean,A new study shows results that contradict known science.,FAKE
18,Community garden initiative succeeds,Authorities report updates on ongoing city projects.,REAL
19,Robot becomes president,Residents shocked by discovery that seems unreal.,FAKE
20,New technology improves crop yield,The event was organized to benefit the local community.,REAL
21,Aliens spotted in city park,Eyewitnesses report incredible event that defies science.,FAKE
22,Local library opens new branch,Scientists published new findings in a peer-reviewed journal.,REAL
23,Chocolate cures all diseases,Unbelievable story that experts cannot explain.,FAKE
24,City park renovation completed,Officials confirmed the progress and completion of the project.,REAL
25,Man grows third arm overnight,A new study shows results that contradict known science.,FAKE
26,Stock market hits record high,Authorities report updates on ongoing city projects.,REAL
27,Time travel device unveiled,Researchers claim impossible phenomenon observed in lab.,FAKE
28,New public transport route launched,The event was organized to benefit the local community.,REAL
29,Scientists discover unicorn DNA,Residents shocked by discovery that seems unreal.,FAKE
30,Scientists discover new species of bird,Scientists published new findings in a peer-reviewed journal.,REAL
31,Moon made of cheese confirmed,Eyewitnesses report incredible event that defies science.,FAKE
32,Mayor announces housing plan,Officials confirmed the progress and completion of the project.,REAL
33,Dinosaurs cloned successfully,Unbelievable story that experts cannot explain.,FAKE
34,School wins national science competition,A new study shows results that contradict known science.,REAL
35,Invisibility cloak invented,Residents shocked by discovery that seems unreal.,FAKE
36,Hospital opens new wing,Authorities report updates on ongoing city projects.,REAL
37,Mermaids found in Atlantic Ocean,Researchers claim impossible phenomenon observed in lab.,FAKE
38,Community garden initiative succeeds,The event was organized to benefit the local community.,REAL
39,Robot becomes president,Unbelievable story that experts cannot explain.,FAKE
40,New technology improves crop yield,Scientists published new findings in a peer-reviewed journal.,REAL
41,Aliens spotted in city park,A new study shows results that contradict known science.,FAKE
42,Local library opens new branch,Officials confirmed the progress and completion of the project.,REAL
